idx_a,idx_b,is_terna_a,is_terna_b,merge,municipality_a,municipality_b,mw_a,mw_b,province_a,province_b,province_norm_a,province_norm_b,reason,region_a,region_b,score,source_a,source_b,title_a,title_b,url_a,url_b
53,81,False,False,False,,,110.855,92.64,,,,,mw_conflict:110.855!=92.64,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 7”, DI POTENZA COMPLESSIVA PARI A 110.855,10 KWP (100.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 3”, DI POTENZA COMPLESSIVA PARI A 92.640,00 KWP (60.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1332&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=857&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
53,101,False,False,False,,,110.855,87.468,,,,,mw_conflict:110.855!=87.468,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 7”, DI POTENZA COMPLESSIVA PARI A 110.855,10 KWP (100.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 4”, DI POTENZA COMPLESSIVA PARI A 87.468,00 KWP (60.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1332&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=859&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
53,601,False,False,False,,,110.855,30.732,,,,,mw_conflict:110.855!=30.732,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 7”, DI POTENZA COMPLESSIVA PARI A 110.855,10 KWP (100.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 2”, DI POTENZA COMPLESSIVA PARI A 30.732 KWP (20.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1332&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=856&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
66,184,False,False,False,,,99.42,68.58,FG,FG,FG,FG,mw_conflict:99.42!=68.58,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 253 del 13 Ottobre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 248 del 9 Ottobre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63632,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63655
66,351,False,False,False,,,99.42,48.733,FG,LE,FG,LE,province_conflict:FG!=LE,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 253 del 13 Ottobre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 255 del 17 Ottobre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63632,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63694
72,1066,False,False,False,,,99.0,7.771,MN,MI,MN,MI,province_conflict:MN!=MI,Lombardia,Lombardia,0,lombardia,lombardia,"Realizzazione di un impianto Agrivoltaico in Comune di Peschiera Borromeo, nei pressi del Depuratore di Via Roma, con sistema Irriguo integrato finalizzato a soddisfare i fabbisogni locali di energia elettrica e di coltivazione locale. Elemento chiave del progetto proposto sarà l’integrazione della produzione fotovoltaica, con l’efficientamento della produzione agricola sia per la gestione dell’ombreggiamento richiesto da un clima sempre più arido, sia per l’opportunità di un’irrigazione con met","Realizzazione di un impianto Agrivoltaico in Comune di Peschiera Borromeo, nei pressi del Depuratore di Via Roma, con sistema Irriguo integrato finalizzato a soddisfare i fabbisogni locali di energia elettrica e di coltivazione locale. Elemento chiave del progetto proposto sarà l’integrazione della produzione fotovoltaica, con l’efficientamento della produzione agricola sia per la gestione dell’ombreggiamento richiesto da un clima sempre più arido, sia per l’opportunità di un’irrigazione con met",https://www.silvia.servizirl.it/silviaweb/#/scheda-sintesi/17416,https://www.silvia.servizirl.it/silviaweb/#/scheda-sintesi/17416
81,101,False,False,False,,,92.64,87.468,,,,,mw_conflict:92.64!=87.468,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 3”, DI POTENZA COMPLESSIVA PARI A 92.640,00 KWP (60.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 4”, DI POTENZA COMPLESSIVA PARI A 87.468,00 KWP (60.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=857&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=859&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
81,601,False,False,False,,,92.64,30.732,,,,,mw_conflict:92.64!=30.732,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 3”, DI POTENZA COMPLESSIVA PARI A 92.640,00 KWP (60.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 2”, DI POTENZA COMPLESSIVA PARI A 30.732 KWP (20.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=857&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=856&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
90,240,False,False,False,,,90.0,60.0,FG,LE,FG,LE,province_conflict:FG!=LE,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 113 del 19 Maggio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 134 del 28 Maggio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63387,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63258
90,439,False,False,False,,,90.0,41.45,FG,BR,FG,BR,province_conflict:FG!=BR,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 113 del 19 Maggio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 123 del 26 Maggio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63387,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63255
90,1076,False,False,False,,,90.0,7.501,FG,TA,FG,TA,province_conflict:FG!=TA,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 113 del 19 Maggio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 137 del 29 Maggio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63387,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63283
90,1109,False,False,False,,,90.0,6.3,FG,LE,FG,LE,province_conflict:FG!=LE,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 113 del 19 Maggio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 116 del 20 maggio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63387,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63237
90,1290,False,False,False,,,90.0,0.2,FG,LE,FG,LE,province_conflict:FG!=LE,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 113 del 19 Maggio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 106 del 15 maggio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63387,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63236
90,1300,False,False,False,,,90.0,,FG,FG,FG,FG,title_similarity:0.96+same_province+title_token_overlap:1.00,Puglia,Puglia,68,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 113 del 19 Maggio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 133 del 27 Maggio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63387,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63257
91,92,False,False,False,,,90.0,90.0,FG,FG,FG,FG,title_similarity:0.94+same_province+same_mw+title_token_overlap:1.00,Puglia,Puglia,83,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 181 del 10 Luglio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 202 del 29 Luglio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63396,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63453
91,99,False,False,False,,,90.0,87.87,FG,BT,FG,BT,province_conflict:FG!=BT,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 181 del 10 Luglio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 199 del 25 luglio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63396,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63472
91,223,False,False,False,,,90.0,63.004,FG,FG,FG,FG,mw_conflict:90.0!=63.004,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 181 del 10 Luglio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 201 del 28 Luglio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63396,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63601
91,283,False,False,False,,,90.0,54.012,FG,FG,FG,FG,mw_conflict:90.0!=54.012,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 181 del 10 Luglio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 174 del 1 Luglio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63396,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63350
91,380,False,False,False,,,90.0,46.29,FG,FG,FG,FG,mw_conflict:90.0!=46.29,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 181 del 10 Luglio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 200 del 25 Luglio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63396,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63452
91,877,False,False,False,,,90.0,15.575,FG,TA,FG,TA,province_conflict:FG!=TA,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 181 del 10 Luglio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 194 del 23 Luglio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63396,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63446
92,99,False,False,False,,,90.0,87.87,FG,BT,FG,BT,province_conflict:FG!=BT,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 202 del 29 Luglio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 199 del 25 luglio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63453,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63472
92,223,False,False,False,,,90.0,63.004,FG,FG,FG,FG,mw_conflict:90.0!=63.004,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 202 del 29 Luglio 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 201 del 28 Luglio 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63453,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63601
