project_name,proponent,region,province,municipalities,project_type,power_mw,status,source,url,updated_at
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""Greppo"", di potenza pari a 26,60 MWp e delle relative opere di connessione alla RTN, da realizzarsi nei comuni di Montepulciano (SI) e Cortona (AR).",Acciona Energia Global Italia S.r.l.,Toscana,AR,Montepulciano,Valutazione Impatto Ambientale (PNIEC-PNRR),26.6,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5940,2026-04-26T08:12:51.907493
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico, di potenza pari a 45,10 MW, sito nel Comune di Enna (EN), in località Calderari, e delle relative opere di connessione alla RTN, ricadenti anche nel Comuni di Assoro (EN) e",ENNA 1 PV S.R.L.,Sicilia,EN,"Enna, Assoro",Valutazione Impatto Ambientale (PNIEC-PNRR),45.1,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5941,2026-04-26T08:12:51.909502
"Valutazione Impatto Ambientale: Progetto di un impianto agrivoltaico di potenza massima pari a 41,54 MWp con sistema di accumulo elettrochimico di potenza pari a 20 MW per 4 ore e relative opere di connessione nel comune di Chiaravalle (AN), successivament",Blusolar Chiaravalle 1 S.r.l.,Marche,AN,Chiaravalle,Valutazione Impatto Ambientale,41.54,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5934,2026-04-26T08:12:51.921423
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrovoltaico denominato ""Impianto AEPV-C01"" , della potenza di 64,9 MW e delle relative opere di connessione alla RTN, da realizzarsi nel comune di Brindisi (BR).",BRINDISI SOLAR 1 S.r.l.,Puglia,BR,Brindisi,Valutazione Impatto Ambientale (PNIEC-PNRR),64.9,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5930,2026-04-26T08:12:51.938852
"IMPIANTO FOTOVOLTAICO \BENANTE\""""",ACCIONA ENERGIA GLOBAL ITALIA S.R.L.,Sicilia,,,V.I.A. (art.23 - 27bis),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1453&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T08:06:44.191888
PROGETTO AGRO-FOTOVOLTAICO DA 40 DA REALIZZARE NEL COMUNE DI AIDONE,FAMILY ENERGY SRL,Sicilia,,"AIDONE, DI AIDONE",V.I.A. (art.23 - 27bis),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1465&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T08:06:44.195171
PROGETTO PER LA REALIZZAZIONE ED ESERCIZIO DI UN IMPIANTO FOTOVOLTAICO CON POTENZA NOMINALE COMPLESSIVA DELL'IMPIANTO DI 10 MW,SOLAER CLEAN ENERGY ITALY 13 S.R.L.,Sicilia,,,V.I.A. (art.23 - 27bis),10.0,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1467&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T08:06:44.196558
Realizzazione impianto FV in loc. Strada Regionale 156 Migliara 43 al KM 46+300. Determinazione n. G12570 del 25/09/2024 - Escluso dal procedimento di VIA con prescrizioni,TURRIZIANI PETROLI SRL,Lazio,Latina,Latina,VERIFICA,,,lazio,"https://www.regione.lazio.it/imprese/tutela-ambientale-difesa-suolo/<p>Realizzazione impianto FV in loc. Strada Regionale 156 Migliara 43 al KM 46+300. <a href=""https:/regionelazio.app.box.com/v/VIA-045-2024"">Scarica Elaborati Progettuali</a></p>",2026-04-26T08:07:23.322954
"REALIZZAZIONE DI UN IMPIANTO AGRIVOLTAICO INTEGRATO ECOCOMPATIBILE \SUSAFA\"" DA 120,75 MW A POLIZZI GENEROSA (PA).""",ALTA CAPITAL 5 S.R.L.,Sicilia,PA,,V.I.A. (art.23 - 27bis),120.75,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1489&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T08:06:44.199411
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico, denominato ""Conche dell'Oro"", della potenza di 80,031 MW, e delle relative opere di connessione alla RTN, da realizzarsi nei comuni di Monreale (PA), Poggioreale (TP) e Gibe",D2M Green Energy - Conche dell'Oro,Sicilia,PA,Monreale,Valutazione Impatto Ambientale (PNIEC-PNRR),80.031,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5959,2026-04-26T08:12:51.886568
